Property Title,Price,Location,Description
3 bedroom flat / apartment for sale,"170,000,000 ","Oniru, Victoria Island (VI), Lagos","Luxury 3 bedrooms flatnote: purely residential usedlocation: oniru estate v/i, lagosdetails:-all rooms ensuite.-ample car park.-stamped concrete floor.-master bedroom with jacuzzi and bath tub.-bq.-good lighting.-water.-security.-cctv camera.-fully fitted kitchen.-within gated estate.fullhouse integrated business concept is a professional firm of estate surveyors and valuers with customer satisfaction at the forefront of our business. we are confident in our strength and determination to fill the gap in the nigerian real estate industry. our real estate-centric service encompasses all facets of the nigerian real estate industry. over the years, we have provided our clients with services in property valuation, property sales, letting, and facility management. we professionally act on behalf of property vendors or purchasers while ensuring that our client gets a fair and the best deal at all times.contact informationaddress: iru settlement, oniru victoria-islandphone no: 08028139853 (babatun...More detailsAdded on 06 Oct 2021"
3 bedroom flat / apartment for sale,"120,000,000 ","Victoria Adeola, Victoria Island (VI), Lagos","For sale---------------------this lovely 3 bedroom apartment with communal pool and bq is located in a secured and serviced mini-estate and features spacious compound, stamped concrete floor, spacious living room, all rooms en-suite, spacious bedrooms, 24hours security, water treatment, ample parking, cctv and bq----------------------------------price: n120million------------------------------location: victoria island, lagostitle: governor's cons...More detailsAdded on 06 Oct 2021"
3 bedroom flat / apartment for sale,"120,000,000 ","Victoria Island (VI), Lagos","This lovely 3 bedroom apartment with communal pool and bq is located in a secured and serviced mini-estate and features spacious compound, stamped concrete floor, spacious living room, all rooms en-suite, spacious bedrooms, 24hours security, water treatment, ample parking, cctv and bq----------------------------------price: n120million------------------------------location: victoria island, lagostitle: governor's cons...More detailsAdded on 06 Oct 2021"
3 bedroom flat / apartment for sale,"100,000,000 ","Oniru, Victoria Island (VI), Lagos",Saleon the 4th floor3 bedroom apartment with bqamount: 100mfeaturesrooms ensuitepop ceilingwardrobeswalk-in showerwater heaterfitted kitchenconcrete stamped floorparking spacejrsl 1...More detailsAdded on 04 Oct 2021
3 bedroom block of flats for sale,"75,000,000 ","Oniru, Victoria Island (VI), Lagos","Net price is n75,000,0003 bedroom apartment in onirutitle: global c of ofullhouse integrated business concept is a professional firm of estate surveyors and valuers with customer satisfaction at the forefront of our business. we are confident in our strength and determination to fill the gap in the nigerian real estate industry. our real estate-centric service encompasses all facets of the nigerian real estate industry. over the years, we have provided our clients with services in property valuation, property sales, letting, and facility management. we professionally act on behalf of property vendors or purchasers while ensuring that our client gets a fair and the best deal at all times.contact informationaddress: iru settlement, oniru victoria-islandphone no: 08028139853 (babatun...More detailsAdded on 04 Oct 2021"
3 bedroom flat / apartment for sale,"120,000,000 ","Victoria Island (VI), Lagos","For sale---------------------this lovely 3 bedroom apartment with communal pool and bq is located in a secured and serviced mini-estate and features spacious compound, stamped concrete floor, spacious living room, all rooms en-suite, spacious bedrooms, 24hours security, water treatment, ample parking, cctv and bq----------------------------------price: n120million------------------------------location: victoria island, lagostitle: governor's cons...More detailsAdded on 26 Sep 2021"
3 bedroom flat / apartment for sale,"$850,000 approx. 366,648,261","Pear Tower, Eko Atlantic, Victoria Island (VI), Lagos",Distress sale!massive 3 bedroom and 2 bedrooms luxury flats both fully furnished at tower b eko pearl eko atlantic vi for sale @ $850k and $750k respective...More detailsAdded on 02 Oct 2021
3 bedroom flat / apartment for sale,"85,000,000 ","Oniru, Victoria Island (VI), Lagos",Features:serviceddetailed finishingprivate borehole & treatment plantnewly builtfully fitted kitchenpre installed air-conditionerselevatoraccess controlled estatepopservice quartersrooms ensuitespacious u...More detailsAdded on 02 Oct 2021
3 bedroom flat / apartment for sale,"85,000,000 ","Oniru, Victoria Island (VI), Lagos",Luxury apartment with bq for saleprice: 3 bedroom - 85mlocation: oniru___________________________________features:serviceddetailed finishingprivate borehole & treatment plantnewly builtfully fitted kitchenpre installed air-conditionerselevatoraccess controlled estatepopservice quartersrooms ensuitespacious unitparking space__________________________________pinnacle homescall:         07012225557         08156508...More detailsAdded on 01 Oct 2021
3 bedroom flat / apartment for sale,"85,000,000 ","Oniru, Victoria Island (VI), Lagos",*luxury apartment with bq for sale**price*: 3 bedroom - 85m*location*: oniru___________________________________features:serviceddetailed finishingprivate borehole & treatment plantnewly builtfully fitted kitchenpre installed air-conditionerselevatoraccess controlled estatepopservice quartersrooms ensuitespacious unitparking space__________________________________urban homes and properties*for enquiries or inspection kindlycall or whatsappdamilola: +2348137913902email: [email protected]More detailsAdded on 01 Oct 2021
