Property Title,Price,Location,Description
5 bedroom detached duplex for sale,"950,000,000 ","Off Alfred Rewane, Old Ikoyi, Ikoyi, Lagos","For sale in old ikoyiluxury 5 bedroom fully detached with all room ensuite,full automation,fully fitted dry and wet kitchen,2 living rooms,roof top terrace,elevator,cinema,gym swimming pool, 2 room servant's quarter with car park for 6 cars.location: off alfred rewane rd,,ikoyiprice:n9...More detailsAdded Yesterday"
5 bedroom detached duplex for sale,"950,000,000 ","Ikoyi, Lagos",Smart 5 bedroom detached duplex with a pool for sale in ikoyi. on the market for 950m.for more enquiries+234 906 155 7176+234 816 592 0863[email protected]www.crescohomes....More detailsAdded on 08 Oct 2021
5 bedroom detached duplex for sale,"950,000,000 ","Ikoyi, Lagos","Smart 5 bedroom detached duplex with a poolprice: 950millionlocation: ikoyi,lagossize: 500sqmtitle:governor's cons...More detailsAdded on 08 Oct 2021"
5 bedroom detached duplex for sale,"950,000,000 ","Off Afred Rewane, Ikoyi, Lagos","5bedroom detached duplex for sale.location: ikoyiprice : 950mfeatures:- brand new- all rooms ensuite-pop ceilings- 2 fully fitted kitchen- cctv- walk-in shower- jacuzzi- wardrobes- bq- roof top- swimming pool- gym house- cinema- elevatorland size : 500sqmafus real estate services ltd.08036210138, 07081081...More detailsAdded on 08 Oct 2021"
5 bedroom detached duplex for sale,"850,000,000 ","Old Ikoyi, Ikoyi, Lagos",2 units of 5 bedroom detached duplexprice: 850mlocation: old ikoyicompletion date: november 2021features:wet and dry kitchenelevator7 seater cinema roomensuite rooms2.7m high doorslarge walk in closetroof top terraceprivate officesmart lighting controlhd audio & video distributionfloor to ceiling windowsfitted acsswimming poolcctv surveillance60kva genera...More detailsAdded on 08 Oct 2021
5 bedroom detached duplex for sale,"950,000,000 ","Ikoyi, Lagos",5 bedroom detached duplex for sale.location: ikoyiprice : 950mfeatures:- brand new- all rooms ensuite-pop ceilings- 2 fully fitted kitchen- cctv- walk-in shower- jacuzzi- wardrobes- bq- roof top- swimming pool- gym house- cinema- elevator- 500sqmfor more enquiries on this and other affordable luxury housescall glory: 08067365...More detailsAdded on 08 Oct 2021
5 bedroom detached duplex for sale,"900,000,000 ","Old Ikoyi, Ikoyi, Lagos",Contemporary 5 bedroom detached duplex for sale in ikoyi.* 5 bedroom* 2 room bq* 22 air condition installed* cctv camera installed* motion sensor light* security and fire alarm system* gym equipped* cinema room*ample parking for 5 cars* music system* motoris tv lift in the kitchen* swimming pool* 5kva solar (alternative energy installed) schneider product* reverse osmosis for water treatment* automated gate*60kva generator*title cofo*price: n900m ...More detailsAdded on 08 Oct 2021
5 bedroom detached duplex for sale,"700,000,000 ","Mojisola Onikoyi, Banana Island, Ikoyi, Lagos",Fresh prince of ikoyi powered by trustfield realty presents you with this amazing and simply captivating 5 bedroom standalone duplex that is adorned with lagos lagoon view is developed with state-of-the-art amenities worth experienci...More detailsAdded on 16 Sep 2021
5 bedroom detached duplex for sale,"850,000,000 ","Old Ikoyi, Ikoyi, Lagos",Completion date (december 2021)whatsapp/call for more deta...More detailsAdded on 17 Sep 2021
5 bedroom detached duplex for sale,"950,000,000 ","Off Alfred Rewane Road, Old Ikoyi, Ikoyi, Lagos","For sale at old ikoyi.luxury 5 bedroom fully detached with all room ensuite,full automation,fully fitted dry and wet kitchen,2 living rooms,roof top terrace,elevator,cinema,gym swimming pool, 2 room servant's quarter with car park for 6 cars.location: off alfred rewane rd,ikoyi.price:n950m#o...More detailsAdded on 08 Oct 2021"
5 bedroom detached duplex for sale,"950,000,000 ","Off Bourdillon Road, Ikoyi, Lagos","Beautifully built and smart 5 bedroom fully detached duplex with 2 rooms bqlocation: off bourdillon road, ikoyi.price: n950millionfeatures; all rooms ensuite, visitors toilet, vaulted ante room,spacious living and dining area, fully fitted and automated kitchen,swimming pool,water treatment plant, 6-seater cinema,equipped gym, lift, open terrace.kindly contact bola 08166792537 for more enquiriesmortgage plans of up to ten years are available with our lending partnerps. get a free move @movesmartng and a 20% discount on cleaning when you buy from ...More detailsAdded on 06 Oct 2021"
